PLAYER,YEAR,POS,HEIGHT,WEIGHT,BMI,BODY FAT,STANDING REACH,WINGSPAN,HAND LENGTH,HAND WIDTH,STANDING VERTICAL,VERTICAL LEAP,LANE AGILITY,SHUTTLE RUN,THREE QUARTER SPRINT,BENCH PRESS,BAR,PAN,PBH,PDT
"Ellington, Wayne",2009,SG,76.25,202.4,24.47,5.5,100.0,78.50,NA,NA,31.5,38.0,11.14,NA,3.20,13,1.030,NA,131.5,138
"Evans, Tyreke",2009,PG/SG,76.00,220.6,26.85,7.1,104.0,83.25,NA,NA,28.5,34.0,11.81,NA,3.17,7,1.095,NA,132.5,138
"Flynn, Jonny",2009,PG,71.25,195.6,27.09,6.3,95.5,76.00,NA,NA,33.0,40.0,10.86,NA,3.23,10,1.067,NA,128.5,135.5
"Gibson, Taj",2009,PF,80.50,214.4,23.26,6.6,109.0,88.00,NA,NA,25.5,30.0,11.56,NA,3.41,12,1.093,NA,134.5,139
"Green, Danny",2009,SG/SF,77.25,208.0,24.50,5.6,103.0,82.00,NA,NA,29.0,33.0,11.30,NA,3.30,15,1.061,NA,132.0,136
"Griffin, Blake",2009,PF,80.50,248.4,26.95,8.2,105.0,83.25,NA,NA,32.0,35.5,10.95,NA,3.28,22,1.034,NA,137.0,140.5
"Hansbrough, Tyler",2009,PF,80.25,234.2,25.57,8.5,106.0,83.50,NA,NA,27.5,34.0,11.12,NA,3.27,18,1.040,NA,133.5,140
"Harden, James",2009,SG,76.00,222.0,27.02,10.1,103.5,82.75,NA,NA,31.5,37.0,11.10,NA,3.13,17,1.089,NA,135.0,140.5
"Henderson, Gerald",2009,SG/SF,76.00,214.6,26.12,4.4,102.5,82.25,NA,NA,31.5,35.0,11.17,NA,3.14,8,1.082,NA,134.0,137.5
"Heytvelt, Josh",2009,PF/C,82.00,246.2,25.74,10.8,108.0,85.25,NA,NA,28.5,34.0,11.67,NA,3.38,15,1.040,NA,136.5,142
"Hill, Jordan",2009,PF/C,81.25,232.4,24.75,6.0,108.0,85.50,NA,NA,31.0,35.0,12.23,NA,3.30,11,1.052,NA,139.0,143
"Holiday, Jrue",2009,PG/SG,75.25,199.0,24.71,6.3,100.5,79.00,NA,NA,28.5,34.0,10.64,NA,3.21,6,1.050,NA,129.0,134.5
"Ingles, Joe",2009,SF,79.75,209.2,23.12,10.1,105.0,82.25,NA,NA,26.0,31.0,10.66,NA,3.30,3,1.031,NA,131.0,136
"Johnson, James",2009,SF/PF,79.00,257.2,28.97,12.0,105.5,84.75,NA,NA,30.5,35.0,11.21,NA,3.23,18,1.073,NA,136.0,140.5
"Lawson, Ty",2009,PG,71.25,196.6,27.23,6.6,94.5,72.75,NA,NA,29.0,36.5,10.98,NA,3.12,14,1.021,NA,123.5,131
"Maynor, Eric",2009,PG,74.25,163.6,20.86,5.4,97.0,74.50,NA,NA,28.5,31.5,10.78,NA,3.19,8,1.003,NA,125.5,128.5
"McClinton, Jack",2009,PG/SG,71.75,185.2,25.29,6.2,96.0,74.50,NA,NA,30.0,36.5,10.44,NA,3.21,13,1.038,NA,126.0,132.5
"McNeal, Jerel",2009,SG,73.50,190.4,24.78,5.4,99.5,79.25,NA,NA,31.5,36.5,10.61,NA,3.25,10,1.078,NA,131.0,136
"Meeks, Jodie",2009,SG,75.00,211.4,26.42,8.0,98.0,76.50,NA,NA,28.5,37.0,10.96,NA,3.10,14,1.020,NA,126.5,135
"Mills, Patty",2009,PG,71.25,175.4,24.29,6.9,95.0,74.00,NA,NA,27.5,33.0,10.87,NA,3.10,8,1.039,NA,122.5,128
"Mullens, Byron",2009,C,83.75,258.2,25.88,8.5,111.0,85.50,NA,NA,28.5,32.5,11.10,NA,3.45,10,1.021,NA,139.5,143.5
"Price, A.J.",2009,PG,72.50,192.8,25.79,12.4,97.0,75.75,NA,NA,26.0,31.0,10.99,NA,3.22,11,1.045,NA,123.0,128
"Smith, Tyler",2009,SF,77.25,212.0,24.97,7.0,104.5,81.75,NA,NA,29.0,33.5,10.69,NA,3.24,10,1.058,NA,133.5,138
"Summers, DaJuan",2009,SF,79.25,243.0,27.20,6.6,106.5,84.75,NA,NA,29.5,34.5,10.94,NA,3.17,15,1.069,NA,136.0,141
"Taylor, Jermaine",2009,SG,75.50,207.4,25.58,5.8,101.0,80.75,NA,NA,34.0,37.5,11.54,NA,3.32,16,1.070,NA,135.0,138.5
"Teague, Jeff",2009,PG,72.25,175.2,23.59,4.5,98.5,79.50,NA,NA,30.5,36.5,11.05,NA,3.18,13,1.100,NA,129.0,135
"Thabeet, Hasheem",2009,C,85.25,267.2,25.85,6.7,113.0,90.25,NA,NA,NA,NA,NA,NA,NA,NA,1.059,NA,NA,NA
"Thornton, Marcus T.",2009,SG,74.75,194.4,24.46,4.8,99.0,77.00,NA,NA,31.0,33.0,10.73,NA,3.28,14,1.030,NA,130.0,132
"Williams, Terrence",2009,SG/SF,77.00,213.2,25.28,5.1,103.5,81.00,NA,NA,30.5,37.0,11.15,NA,3.18,9,1.052,NA,134.0,140.5
"Young, Sam",2009,SG/SF,77.25,222.8,26.25,4.9,105.5,82.75,NA,NA,27.5,33.0,11.47,NA,3.45,NA,1.071,NA,133.0,138.5
"Alexander, Joe",2008,SF/PF,79.25,220.0,24.63,5.8,106.0,83.50,NA,NA,32.5,38.5,11.33,NA,2.99,24,1.054,NA,138.5,144.5
"Arthur, Darrell",2008,PF,79.50,216.0,24.03,7.3,107.0,82.75,NA,NA,28.5,30.0,12.18,NA,3.14,12,1.041,NA,135.5,137
"Augustin, D.J.",2008,PG,70.00,171.5,24.61,8.1,94.5,75.50,NA,NA,28.5,35.0,11.27,NA,3.07,2,1.079,NA,123.0,129.5
"Bayless, Jerryd",2008,PG/SG,73.75,204.0,26.37,4.7,97.0,75.50,NA,NA,31.0,38.0,11.26,NA,3.07,10,1.024,NA,128.0,135
"Beasley, Michael",2008,SF/PF,79.00,239.0,26.92,7.7,107.0,84.25,NA,NA,30.0,35.0,11.06,NA,3.24,19,1.066,NA,137.0,142
"Bradley, Ramel",2008,PG/SG,73.25,184.0,24.11,5.7,98.0,77.00,NA,NA,24.5,29.5,10.68,NA,3.24,9,1.051,NA,122.5,127.5
"Brazelton, Tyrone",2008,PG,70.00,166.0,23.82,8.1,94.0,73.75,NA,NA,30.0,34.0,11.59,NA,3.25,8,1.054,NA,124.0,128
"Brown, Takais",2008,PF,79.25,252.0,28.21,9.2,106.0,82.00,NA,NA,29.0,31.0,12.47,NA,3.25,22,1.035,NA,135.0,137
"Brumbaugh, Keith",2008,SF/PF,79.50,190.0,21.13,4.0,104.5,79.25,NA,NA,26.0,27.0,11.65,NA,3.28,2,0.997,NA,130.5,131.5
"Burrell, Stanley",2008,PG,73.50,201.0,26.16,5.6,97.5,78.25,NA,NA,29.5,34.5,11.19,NA,3.19,21,1.065,NA,127.0,132
"Butch, Brian",2008,PF/C,81.50,229.6,24.30,10.8,108.0,83.25,NA,NA,24.0,26.5,11.87,NA,3.52,9,1.021,NA,132.0,134.5
"Butler, Jamar",2008,PG,72.25,182.0,24.51,6.0,97.0,76.75,NA,NA,NA,NA,NA,NA,NA,15,1.062,NA,NA,NA
"Calathes, Pat",2008,SF/PF,80.75,204.0,21.99,7.3,106.0,81.75,NA,NA,NA,NA,NA,NA,NA,7,1.012,NA,NA,NA
"Crawford, Joe",2008,SG,75.00,213.0,26.62,7.6,99.5,77.75,NA,NA,31.0,36.0,11.67,NA,3.22,13,1.037,NA,130.5,135.5
"Daniels, Chris",2008,PF/C,80.25,256.0,27.95,16.1,109.0,84.50,NA,NA,26.0,28.5,12.72,NA,3.56,11,1.053,NA,135.0,137.5
"Dorsey, Joey",2008,PF/C,78.25,265.0,30.43,9.0,107.0,85.75,NA,NA,27.5,33.0,11.84,NA,3.20,19,1.096,NA,134.5,140
"Dove, Marcus",2008,SF/PF,78.75,208.0,23.58,5.3,105.0,83.50,NA,NA,27.5,33.5,11.59,NA,3.26,10,1.060,NA,132.5,138.5
"Duncan, Josh",2008,PF,80.00,230.0,25.26,5.4,104.5,83.50,NA,NA,28.0,32.0,12.47,NA,3.26,26,1.044,NA,132.5,136.5
"Elegar, Frank",2008,PF,79.25,210.0,23.51,4.5,106.0,87.25,NA,NA,33.5,37.5,11.86,NA,3.17,11,1.101,NA,139.5,143.5
"Ewing Jr., Patrick",2008,SF/PF,78.00,224.0,25.88,9.4,97.5,84.25,NA,NA,35.0,42.0,11.77,NA,3.43,2,1.080,NA,132.5,139.5
"Forbes, Gary",2008,SG,76.50,220.5,26.49,6.5,104.5,83.25,NA,NA,27.5,33.5,11.45,NA,3.25,13,1.088,NA,132.0,138
"Foster, Shan",2008,SG,76.00,194.5,23.67,6.3,103.5,83.50,NA,NA,30.0,33.0,12.30,NA,3.24,10,1.099,NA,133.5,136.5
"Giddens, J.R.",2008,SG,76.00,208.0,25.32,5.4,103.0,83.25,NA,NA,NA,NA,NA,NA,NA,10,1.095,NA,NA,NA
"Gist, James",2008,PF,79.00,220.0,24.78,4.8,107.5,88.00,NA,NA,30.5,35.0,11.37,NA,3.14,5,1.114,NA,138.0,142.5
"Golubovic, Vladimir",2008,C,83.25,258.0,26.17,6.9,111.5,86.50,NA,NA,21.5,27.0,12.40,NA,3.33,15,1.039,NA,133.0,138.5
"Gordon, Eric",2008,SG,74.00,222.0,28.50,8.2,99.0,81.00,NA,NA,32.0,40.0,10.81,NA,3.01,15,1.095,NA,131.0,139
"Gransberry, Kentrell",2008,C,78.75,290.0,32.87,17.4,106.0,82.25,NA,NA,24.5,27.5,12.16,NA,3.32,18,1.044,NA,130.5,133.5
"Greene, Donte",2008,SF/PF,80.25,221.0,24.12,7.6,108.0,82.00,NA,NA,27.5,31.5,11.21,NA,3.20,2,1.022,NA,135.5,139.5
"Hairston, Malik",2008,SG,76.25,204.0,24.67,6.9,103.5,81.00,NA,NA,30.5,38.0,11.33,NA,3.08,13,1.062,NA,134.0,141.5
"Hardin, DeVon",2008,PF/C,81.50,235.0,24.87,5.8,109.5,87.00,NA,NA,29.5,32.0,11.49,NA,3.33,20,1.067,NA,139.0,141.5
"Hendrix, Richard",2008,PF,78.75,250.0,28.34,9.2,108.0,87.00,NA,NA,26.5,28.0,10.62,NA,3.27,13,1.105,NA,134.5,136
"Hill, George",2008,PG,73.25,181.0,23.71,3.0,97.5,81.00,NA,NA,34.0,37.5,12.20,NA,3.07,9,1.106,NA,131.5,135
"Hines, Kyle",2008,SF/PF,75.75,234.0,28.67,3.6,104.5,85.25,NA,NA,28.5,33.0,12.17,NA,3.40,16,1.125,NA,133.0,137.5
"Hubalek, Jiri",2008,PF/C,81.50,226.0,23.92,8.8,109.0,82.75,NA,NA,20.5,26.0,12.26,NA,3.54,2,1.015,NA,129.5,135
"Hudson, Lester",2008,PG,71.75,196.0,26.77,3.4,98.5,80.75,NA,NA,30.5,36.0,11.15,NA,3.16,12,1.125,NA,129.0,134.5
"Hunter, Othello",2008,SF/PF,78.50,220.0,25.10,6.4,109.5,87.00,NA,NA,28.0,34.5,11.51,NA,3.18,7,1.108,NA,137.5,144
"Jackson, Darnell",2008,PF,79.00,240.5,27.09,12.5,106.5,83.25,NA,NA,27.0,31.0,11.75,NA,3.26,11,1.054,NA,133.5,137.5
"James, Shawn",2008,PF,79.75,217.0,23.99,9.2,111.0,89.00,NA,NA,NA,NA,NA,NA,NA,6,1.116,NA,NA,NA
"Jefferson, Davon",2008,SF,77.25,213.0,25.09,12.0,105.0,81.50,NA,NA,27.0,32.0,12.02,NA,3.36,2,1.055,NA,132.0,137
"Jones, Joseph",2008,PF,79.00,240.0,27.03,12.2,107.0,84.25,NA,NA,25.5,31.0,11.61,NA,3.33,16,1.066,NA,132.5,138
"Jordan, DeAndre",2008,C,81.75,250.0,26.30,7.5,113.5,90.00,NA,NA,26.0,30.5,12.30,NA,3.27,8,1.101,NA,139.5,144
"Kaun, Sasha",2008,PF/C,81.00,247.0,26.47,9.6,110.0,88.00,NA,NA,29.0,32.0,12.06,NA,3.20,13,1.086,NA,139.0,142
"Kemp, Marcelus",2008,SG,75.00,221.0,27.62,9.0,103.5,80.50,NA,NA,26.0,30.0,11.79,NA,3.39,9,1.073,NA,129.5,133.5
"Leunen, Maarty",2008,SF,79.25,222.0,24.85,8.9,102.5,80.00,NA,NA,29.5,34.5,11.57,NA,3.36,14,1.009,NA,132.0,137
"Longar, Longar",2008,C,81.00,212.5,22.77,10.6,109.5,85.25,NA,NA,NA,NA,NA,NA,NA,14,1.052,NA,NA,NA
"Lopez, Brook",2008,C,83.25,258.0,26.17,6.3,113.0,89.50,NA,NA,27.5,30.5,12.77,NA,3.57,7,1.075,NA,140.5,143.5
"Love, Kevin",2008,PF,79.75,255.0,28.19,12.9,106.0,83.25,NA,NA,29.5,35.0,11.17,NA,3.22,18,1.044,NA,135.5,141
"Maric, Aleks",2008,C,81.75,273.0,28.72,10.1,109.5,85.00,NA,NA,23.0,28.0,11.76,NA,3.35,15,1.040,NA,132.5,137.5
"Mayo, O.J.",2008,PG/SG,75.25,200.0,24.83,6.3,99.5,78.00,NA,NA,30.5,41.0,11.04,NA,3.14,7,1.037,NA,130.0,140.5
"Mays, James",2008,PF,78.75,227.0,25.73,8.8,105.0,85.75,NA,NA,29.5,35.0,11.23,NA,3.19,13,1.089,NA,134.5,140
"Mbah a Moute, Luc",2008,SF,77.75,221.0,25.70,7.0,103.5,86.50,NA,NA,32.0,38.5,11.71,NA,3.17,11,1.113,NA,135.5,142
"McGee, JaVale",2008,PF/C,83.00,241.0,24.59,5.3,114.5,90.00,NA,NA,27.0,32.5,12.75,NA,3.25,7,1.084,NA,141.5,147
"Neitzel, Drew",2008,PG,71.75,175.5,23.97,6.2,95.0,74.50,NA,NA,25.5,32.0,11.19,NA,3.20,10,1.038,NA,120.5,127
"Nelson, DeMarcus",2008,PG/SG,73.00,198.0,26.12,4.5,98.5,82.00,NA,NA,34.5,38.5,10.54,NA,3.13,19,1.123,NA,133.0,137
"Padgett, David",2008,PF/C,82.25,239.5,24.89,9.0,109.5,85.00,NA,NA,24.0,28.0,12.45,NA,3.45,17,1.033,NA,133.5,137.5
"Pargo, Jeremy",2008,PG,72.50,208.0,27.82,7.6,96.0,77.00,NA,NA,32.0,37.0,10.65,NA,3.07,7,1.062,NA,128.0,133
"Plaisted, Trent",2008,PF,81.25,240.0,25.56,11.0,105.5,82.50,NA,NA,30.5,35.5,11.32,NA,3.17,14,1.015,NA,136.0,141
"Prowell, Quan",2008,SF/PF,78.75,225.5,25.56,6.5,103.5,82.50,NA,NA,32.0,36.0,11.79,NA,3.14,16,1.048,NA,135.5,139.5
"Pruitt, Shaun",2008,PF/C,80.25,242.2,26.44,13.8,107.5,85.00,NA,NA,27.0,32.5,11.30,NA,3.40,10,1.059,NA,134.5,140
"Randolph, Anthony",2008,SF/PF,81.00,197.0,21.11,4.7,109.0,87.00,NA,NA,29.0,35.0,11.86,NA,3.26,7,1.074,NA,138.0,144
"Rhodes, Charles",2008,PF,79.25,244.0,27.31,10.7,107.5,83.25,NA,NA,26.5,33.5,11.51,NA,3.13,14,1.050,NA,134.0,141
"Riek, John",2008,C,82.50,237.0,24.48,11.0,NA,92.75,NA,NA,NA,NA,NA,NA,NA,NA,1.124,NA,NA,NA
"Roberts, Brian",2008,PG,72.25,173.0,23.30,3.6,95.0,73.25,NA,NA,31.5,36.5,10.65,NA,3.05,10,1.014,NA,126.5,131.5
"Robinson, Russell",2008,PG,72.50,196.0,26.21,7.4,100.5,80.00,NA,NA,25.0,31.5,11.30,NA,3.15,8,1.103,NA,125.5,132
"Roby, Richard",2008,SG/SF,76.25,203.0,24.55,9.2,104.0,81.75,NA,NA,NA,NA,NA,NA,NA,NA,1.072,NA,NA,NA
"Rose, Derrick",2008,PG,73.50,196.0,25.51,4.6,98.5,80.00,NA,NA,34.5,40.0,11.69,NA,3.05,10,1.088,NA,133.0,138.5
"Singletary, Sean",2008,PG,71.00,183.8,25.63,4.2,95.0,76.50,NA,NA,26.0,NA,NA,NA,NA,18,1.077,NA,121.0,NA
"Steele, Ronald",2008,PG,72.25,183.5,24.71,8.1,97.5,76.25,NA,NA,25.0,29.5,11.08,NA,3.26,5,1.055,NA,122.5,127
"Taylor, Bryce",2008,SG,74.75,210.0,26.42,8.3,99.5,81.00,NA,NA,34.5,41.0,11.08,NA,3.19,16,1.084,NA,134.0,140.5
"Taylor, Mike",2008,PG/SG,72.75,166.2,22.08,3.8,98.0,79.25,NA,NA,31.0,39.0,10.98,NA,3.08,2,1.089,NA,129.0,137
"Tyndale, Mark",2008,SG/SF,74.75,217.0,27.30,6.7,103.5,83.00,NA,NA,27.0,33.5,12.52,NA,3.14,5,1.110,NA,130.5,137
"Vaden, Robert",2008,SG,75.50,199.0,24.54,6.2,101.0,80.00,NA,NA,26.0,29.5,11.97,NA,3.40,10,1.060,NA,127.0,130.5
"Washington, Deron",2008,SF,77.25,198.5,23.38,7.2,102.5,81.00,NA,NA,34.0,40.0,11.03,NA,3.09,7,1.049,NA,136.5,142.5
"Weems, Sonny",2008,SG/SF,76.00,193.0,23.49,4.4,104.0,82.00,NA,NA,29.0,36.5,10.58,NA,2.96,12,1.079,NA,133.0,140.5
"Westbrook, Russell",2008,PG,74.25,192.0,24.48,4.8,100.0,79.75,NA,NA,30.0,36.5,10.98,NA,3.08,12,1.074,NA,130.0,136.5
"Williams, Reggie",2008,SG,75.25,199.0,24.71,5.3,103.0,81.25,NA,NA,31.5,36.5,11.32,NA,3.07,15,1.080,NA,134.5,139.5
"Abukar, Mohamed",2007,SF,80.00,210.0,23.07,8.9,103.0,81.00,NA,NA,30.5,35.0,11.78,NA,3.37,15,1.013,NA,133.5,138
"Boggan, Mario",2007,PF,77.00,240.0,28.46,9.2,107.0,86.00,NA,NA,24.0,26.5,12.18,NA,3.45,12,1.117,NA,131.0,133.5
"Bradshaw, Craig",2007,PF,80.00,240.0,26.36,12.1,106.5,85.50,NA,NA,26.0,28.0,11.88,NA,3.54,12,1.069,NA,132.5,134.5
"Brewer, Corey",2007,SG/SF,78.00,185.0,21.38,4.2,103.0,80.25,NA,NA,30.5,36.5,11.69,NA,3.22,11,1.029,NA,133.5,139.5
"Brooks, Aaron",2007,PG,70.00,161.0,23.10,2.7,94.0,76.00,NA,NA,32.5,39.5,10.57,NA,3.20,6,1.086,NA,126.5,133.5
"Brown, Bobby",2007,PG,71.00,170.0,23.71,6.6,95.5,76.00,NA,NA,32.5,41.0,11.27,NA,3.25,3,1.070,NA,128.0,136.5
"Carter, Russell",2007,SG,75.00,221.0,27.62,6.0,97.5,80.50,NA,NA,33.0,38.5,11.61,NA,3.29,25,1.073,NA,130.5,136
"Collins, Coleman",2007,PF,80.00,236.0,25.92,6.2,107.0,86.00,NA,NA,30.0,35.0,11.47,NA,NA,21,1.075,NA,137.0,142
"Conley, Mike",2007,PG,71.00,175.0,24.40,4.2,94.5,77.75,NA,NA,35.5,40.5,11.63,NA,3.09,13,1.095,NA,130.0,135
"Cook, Daequan",2007,SG,75.00,203.0,25.37,7.0,101.5,80.25,NA,NA,30.0,34.5,11.12,NA,3.22,4,1.070,NA,131.5,136
"Covile, Ryvon",2007,PF/C,79.00,250.0,28.16,8.0,107.5,85.25,NA,NA,25.0,30.5,12.52,NA,3.37,19,1.079,NA,132.5,138
"Crittenton, Javaris",2007,PG,75.00,194.0,24.25,4.5,98.0,77.50,NA,NA,32.5,38.0,11.60,NA,3.32,11,1.033,NA,130.5,136
"Davidson, Jermareo",2007,PF,81.00,230.0,24.64,6.9,109.5,88.00,NA,NA,27.0,30.0,12.63,NA,3.53,7,1.086,NA,136.5,139.5
"Doellman, Justin",2007,PF,80.00,205.0,22.52,7.0,105.0,80.75,NA,NA,NA,NA,NA,NA,NA,19,1.009,NA,NA,NA
"Dowdell, Zabian",2007,PG,73.00,191.0,25.20,5.1,100.0,82.00,NA,NA,30.0,33.5,11.13,NA,3.29,3,1.123,NA,130.0,133.5
"Dudley, Jared",2007,SF,77.00,219.0,25.97,7.1,102.0,79.00,NA,NA,28.0,32.0,11.32,NA,3.45,14,1.026,NA,130.0,134
"Durant, Kevin",2007,SF/PF,81.00,215.0,23.04,6.6,110.0,88.75,NA,NA,26.0,33.5,12.33,NA,3.45,0,1.096,NA,136.0,143.5
"Freeman, Rashaun",2007,PF,78.00,244.0,28.19,11.5,104.0,83.50,NA,NA,28.0,32.0,11.43,NA,3.41,20,1.071,NA,132.0,136
"Gray, Aaron",2007,C,84.00,271.0,27.00,10.8,108.5,87.25,NA,NA,27.0,32.5,12.07,NA,3.70,17,1.039,NA,135.5,141
"Green, Caleb",2007,PF,78.00,238.0,27.50,10.9,103.0,83.75,NA,NA,28.5,36.0,11.72,NA,3.46,9,1.074,NA,131.5,139
"Green, Jeff",2007,SF,79.00,228.0,25.68,3.7,103.0,85.25,NA,NA,33.5,38.0,12.00,NA,3.34,17,1.079,NA,136.5,141
"Green, Taurean",2007,PG,71.00,173.0,24.13,4.6,96.0,74.25,NA,NA,29.0,32.5,11.30,NA,3.26,8,1.046,NA,125.0,128.5
"Hawes, Spencer",2007,PF,82.00,244.0,25.51,13.0,110.0,84.50,NA,NA,26.0,29.0,11.88,NA,3.51,9,1.030,NA,136.0,139
"Heath, Brandon",2007,PG,74.00,181.0,23.24,9.0,94.0,79.00,NA,NA,32.0,36.0,11.39,NA,3.28,11,1.068,NA,126.0,130
"Hill, Herbert",2007,C,79.00,232.0,26.13,5.6,108.5,86.25,NA,NA,30.5,34.0,12.31,NA,3.39,15,1.092,NA,139.0,142.5
"Horford, Al",2007,PF,80.00,246.0,27.02,9.1,107.0,84.75,NA,NA,31.0,35.5,12.15,NA,3.37,20,1.059,NA,138.0,142.5
"Hosley, Quinton",2007,SG/SF,77.00,215.0,25.49,5.7,105.0,83.25,NA,NA,28.5,34.0,12.47,NA,3.32,12,1.081,NA,133.5,139
"Hughes, James",2007,C,81.00,209.0,22.39,3.5,111.0,87.00,NA,NA,31.0,33.0,13.31,NA,3.37,8,1.074,NA,142.0,144
"Hunt, Jeremy",2007,SG,74.00,198.0,25.42,5.2,101.5,80.25,NA,NA,30.5,33.0,12.11,NA,3.29,10,1.084,NA,132.0,134.5
"Ibekwe, Ekene",2007,PF,80.00,208.0,22.85,3.2,104.0,90.00,NA,NA,34.5,39.0,11.00,NA,3.28,10,1.125,NA,138.5,143
"James, Dominic",2007,PG,70.00,175.0,25.11,4.8,93.0,74.00,NA,NA,33.5,38.5,10.94,NA,3.11,14,1.057,NA,126.5,131.5
"Johnson, Trey",2007,SG,75.00,216.0,27.00,5.4,98.0,77.00,NA,NA,26.5,35.0,11.78,NA,3.31,18,1.027,NA,124.5,133
"Jones-Jennings, Rashad",2007,PF,78.00,235.0,27.15,5.9,105.5,84.00,NA,NA,25.0,30.0,12.18,NA,3.29,20,1.077,NA,130.5,135.5
"Jordan, Jared",2007,PG,72.00,183.0,24.82,7.0,94.0,72.00,NA,NA,24.5,28.5,11.02,NA,3.39,6,1.000,NA,118.5,122.5
"Karl, Coby",2007,PG/SG,75.00,204.0,25.50,5.4,99.5,83.00,NA,NA,32.0,34.5,11.57,NA,3.41,9,1.107,NA,131.5,134
"Kavaliauskas, Antanas",2007,PF,81.00,237.0,25.39,7.7,106.5,82.50,NA,NA,25.5,30.0,11.19,NA,3.42,19,1.019,NA,132.0,136.5
"Landry, Carl",2007,PF,79.00,248.0,27.94,7.5,102.5,83.00,NA,NA,31.5,36.5,11.35,NA,3.29,21,1.051,NA,134.0,139
"Lasme, Stephane",2007,PF,77.00,213.0,25.26,4.9,107.0,86.00,NA,NA,29.5,36.0,11.73,NA,3.22,17,1.117,NA,136.5,143
"Law, Acie",2007,PG,74.00,186.0,23.88,5.6,98.0,78.50,NA,NA,29.0,34.0,11.00,NA,3.22,8,1.061,NA,127.0,132
"Lekic, Marko",2007,C,81.00,267.0,28.61,11.4,108.5,85.00,NA,NA,24.0,30.5,11.96,NA,3.43,19,1.049,NA,132.5,139
"Lewis, Ron",2007,SG,74.00,194.0,24.91,4.5,99.0,78.50,NA,NA,33.0,38.0,11.59,NA,3.22,16,1.061,NA,132.0,137
"Martin, Cartier",2007,SF,76.00,218.0,26.53,5.6,103.5,82.00,NA,NA,27.0,29.5,12.10,NA,3.43,11,1.079,NA,130.5,133
"McGuire, Dominic",2007,SF,79.00,220.0,24.78,4.7,104.0,82.50,NA,NA,28.5,34.5,10.95,NA,3.25,12,1.044,NA,132.5,138.5
"McRoberts, Josh",2007,PF,80.00,240.0,26.36,13.7,106.5,85.00,NA,NA,27.5,31.5,11.70,NA,3.47,12,1.063,NA,134.0,138
"Mejia, Sammy",2007,SG,77.00,218.0,25.85,8.3,105.0,83.00,NA,NA,27.0,31.5,11.87,NA,3.49,7,1.078,NA,132.0,136.5
"Newley, Brad",2007,SG,77.00,201.0,23.83,8.0,102.5,80.00,NA,NA,29.5,31.5,11.77,NA,3.29,3,1.039,NA,132.0,134
"Nichols, Demetris",2007,SF,78.00,211.0,24.38,6.2,105.0,84.25,NA,NA,28.5,32.5,10.39,NA,3.38,16,1.080,NA,133.5,137.5
"Noah, Joakim",2007,PF,82.00,223.0,23.31,4.8,106.5,85.25,NA,NA,32.5,37.5,11.79,NA,3.47,12,1.040,NA,139.0,144
"Oden, Greg",2007,C,83.00,257.0,26.23,7.8,112.0,88.25,NA,NA,32.0,34.0,11.67,NA,3.27,NA,1.063,NA,144.0,146
"Radenovic, Ivan",2007,PF,81.00,226.0,24.22,9.8,106.0,83.75,NA,NA,23.0,28.0,11.61,NA,3.60,7,1.034,NA,129.0,134
"Reynolds, JR",2007,PG,72.00,188.0,25.49,8.2,95.0,75.25,NA,NA,27.5,34.5,11.69,NA,3.24,15,1.045,NA,122.5,129.5
"Richard, Chris",2007,PF,79.00,252.0,28.39,7.5,110.5,88.50,NA,NA,26.5,30.5,11.39,NA,3.29,15,1.120,NA,137.0,141
"Salisbery, Dustin",2007,SG,75.00,208.0,26.00,6.6,100.5,80.00,NA,NA,34.0,38.0,11.07,NA,3.12,11,1.067,NA,134.5,138.5
"Schilb, Blake",2007,SG,77.00,214.0,25.37,10.0,102.5,81.00,NA,NA,26.5,33.5,11.63,NA,3.36,11,1.052,NA,129.0,136
"Seibutis, Renaldas",2007,SG,76.00,185.0,22.52,6.1,101.0,80.75,NA,NA,24.0,32.5,11.33,NA,3.39,1,1.063,NA,125.0,133.5
"Sessions, Ramon",2007,PG,74.00,185.0,23.75,6.2,97.5,76.25,NA,NA,29.5,33.5,11.65,NA,3.27,8,1.030,NA,127.0,131
"Shakur, Mustafa",2007,PG,75.00,185.0,23.12,4.1,99.0,77.50,NA,NA,28.5,35.0,11.82,NA,3.27,11,1.033,NA,127.5,134
"Smith, Jason",2007,PF,82.75,233.0,23.92,7.5,106.0,82.75,NA,NA,33.5,37.5,10.96,NA,3.29,15,1.000,NA,139.5,143.5
"Strawberry, DJ",2007,SG,75.75,199.0,24.38,4.5,101.0,78.50,NA,NA,28.5,35.0,10.87,NA,3.14,21,1.036,NA,129.5,136
"Stuckey, Rodney",2007,PG/SG,75.75,207.0,25.36,6.1,100.5,79.25,NA,NA,30.5,35.0,11.34,NA,3.11,14,1.046,NA,131.0,135.5
"Sumpter, Curtis",2007,SF,78.00,227.0,26.23,5.3,104.0,81.50,NA,NA,27.5,32.5,11.30,NA,3.22,12,1.045,NA,131.5,136.5
"Sun, Yue",2007,SF,79.75,212.0,23.43,5.1,105.0,81.00,NA,NA,29.0,34.0,10.68,NA,3.45,9,1.016,NA,134.0,139
"Tatum, Jamaal",2007,PG,71.50,168.0,23.10,5.0,93.5,74.50,NA,NA,28.5,33.0,11.51,NA,3.22,7,1.042,NA,122.0,126.5
