PLAYER,YEAR,POS,HEIGHT,WEIGHT,BMI,BODY FAT,STANDING REACH,WINGSPAN,HAND LENGTH,HAND WIDTH,STANDING VERTICAL,VERTICAL LEAP,LANE AGILITY,SHUTTLE RUN,THREE QUARTER SPRINT,BENCH PRESS,BAR,PAN,PBH,PDT
"Ledo, Ricky",2013,SG,76.75,197.2,23.53,10.3,102.5,79.25,8.50,9.3,27.0,33.5,10.72,3.16,3.32,4,1.033,78.6,129.5,136
"Len, Alex",2013,C,NA,NA,NA,6.4,NA,87.50,9.00,10.8,NA,NA,NA,NA,NA,NA,NA,96.8,NA,NA
"Leslie, CJ",2013,SF/PF,79.50,209.2,23.27,8.0,104.5,86.25,8.75,9.0,32.5,40.5,10.19,2.79,3.10,NA,1.085,78.8,137.0,145
"Mbakwe, Trevor",2013,PF,78.75,235.8,26.73,5.9,106.5,88.00,9.50,11.5,30.0,36.5,12.01,2.97,3.32,21,1.117,109.3,136.5,143
"McCallum, Ray",2013,PG,72.25,191.4,25.78,7.3,96.5,75.25,8.00,8.8,30.5,40.0,10.82,3.08,3.25,5,1.042,70.0,127.0,136.5
"McCollum, CJ",2013,PG/SG,74.25,197.0,25.12,8.6,96.5,78.25,8.00,9.5,32.0,38.5,11.02,2.91,3.32,13,1.054,76.0,128.5,135
"McLemore, Ben",2013,SG,75.50,189.2,23.33,5.0,100.5,79.75,8.75,9.5,32.5,42.0,11.87,3.11,3.27,6,1.056,83.1,133.0,142.5
"Mitchell, Tony",2013,SF/PF,79.50,236.4,26.29,5.6,106.5,86.50,9.00,10.0,33.5,38.0,11.82,3.25,3.52,13,1.088,90.0,140.0,144.5
"Muhammad, Shabazz",2013,SG/SF,76.75,221.8,26.47,9.0,104.5,83.00,9.00,10.0,29.5,37.0,10.99,2.93,3.32,10,1.081,90.0,134.0,141.5
"Murphy, Erik",2013,PF,80.75,239.8,25.85,8.0,108.0,82.50,8.75,9.8,24.5,29.5,12.19,2.96,3.57,13,1.022,85.3,132.5,137.5
"Muscala, Mike",2013,PF/C,82.25,230.2,23.92,6.8,108.0,85.00,8.50,9.0,28.0,33.5,11.76,2.99,3.44,5,1.033,76.5,136.0,141.5
"Noel, Nerlens",2013,C,82.00,206.4,21.58,4.2,110.0,87.75,9.50,10.0,NA,NA,NA,NA,NA,NA,1.070,95.0,NA,NA
"Oladipo, Victor",2013,SG,75.25,213.2,26.47,6.6,100.5,81.25,8.75,9.3,33.0,42.0,10.69,3.14,3.25,15,1.080,80.9,133.5,142.5
"Olynyk, Kelly",2013,PF/C,82.75,234.0,24.02,6.7,108.0,81.75,8.50,10.0,24.5,29.5,11.42,2.99,3.59,5,0.988,85.0,132.5,137.5
"Paul, Brandon",2013,SG,74.75,201.0,25.29,5.3,98.0,82.25,8.50,9.5,33.5,39.5,11.16,2.90,3.37,15,1.100,80.8,131.5,137.5
"Pelle, Norvel",2013,PF/C,81.50,207.2,21.93,5.2,109.0,86.50,8.75,9.5,31.0,34.5,11.49,3.20,3.32,0,1.061,83.1,140.0,143.5
"Plumlee, Mason",2013,PF/C,83.25,238.2,24.16,6.2,108.0,83.00,9.75,9.5,30.5,36.0,10.89,2.76,3.29,14,0.997,92.6,138.5,144
"Porter, Otto",2013,SF,79.50,197.6,21.98,6.7,105.5,85.50,8.75,9.3,27.0,36.0,11.25,3.06,3.40,9,1.075,80.9,132.5,141.5
"Pressey, Phil",2013,PG,69.50,177.0,25.76,4.7,92.0,74.25,7.75,9.8,33.0,38.5,10.86,3.02,3.13,7,1.068,75.6,125.0,130.5
"Rice, Glen",2013,SG/SF,76.50,210.8,25.32,8.5,101.5,81.25,8.50,9.0,33.0,40.5,10.99,3.08,3.25,10,1.062,76.5,134.5,142
"Roberson, Andre",2013,SF/PF,78.25,205.8,23.63,7.1,104.5,83.00,8.75,9.5,30.0,36.5,11.36,3.02,3.34,10,1.061,83.1,134.5,141
"Schroder, Dennis",2013,PG,73.00,164.8,21.74,4.1,98.0,79.75,8.75,10.5,30.0,34.0,11.09,2.86,3.21,1,1.092,91.9,128.0,132
"Siva, Peyton",2013,PG,71.50,180.6,24.83,6.1,93.0,75.00,8.00,9.8,33.5,41.5,10.59,2.93,3.16,15,1.049,78.0,126.5,134.5
"Snell, Tony",2013,SG/SF,78.00,198.2,22.90,4.9,105.5,83.50,9.00,9.5,30.0,36.5,11.36,2.84,3.25,7,1.071,85.5,135.5,142
"Southerland, James",2013,SF/PF,79.00,220.6,24.85,8.1,106.0,85.00,8.00,9.5,29.0,32.0,10.90,3.03,3.38,5,1.076,76.0,135.0,138
"Thomas, Adonis",2013,SF,76.75,231.8,27.66,7.5,99.0,85.00,9.25,9.5,34.5,40.5,11.64,3.11,3.32,13,1.107,87.9,133.5,139.5
"Thomas, Deshaun",2013,SF,77.00,219.8,26.06,9.1,104.0,82.00,8.00,8.8,28.5,32.0,12.94,3.38,3.53,5,1.065,70.0,132.5,136
"Withey, Jeff",2013,C,82.75,221.8,22.77,8.7,110.5,86.00,9.00,9.8,26.5,29.0,12.49,3.29,3.47,10,1.039,87.8,137.0,139.5
"Wolters, Nate",2013,PG,75.50,196.4,24.22,5.5,98.0,75.75,8.25,8.8,NA,NA,NA,NA,NA,8,1.003,72.2,NA,NA
"Young, BJ",2013,PG/SG,74.25,178.8,22.80,4.7,99.0,80.25,8.50,9.5,NA,NA,NA,NA,NA,NA,1.081,80.8,NA,NA
"Zeller, Cody",2013,PF/C,82.75,230.0,23.61,4.8,106.0,82.75,8.50,10.5,35.5,37.5,10.82,2.69,3.15,17,1.000,89.3,141.5,143.5
"Acy, Quincy",2012,PF,78.50,223.8,25.53,7.1,106.5,86.75,9.50,11.0,32.0,37.0,10.48,NA,3.28,13,1.105,104.5,138.5,143.5
"Barnes, Harrison",2012,SG/SF,79.00,227.8,25.66,9.6,101.5,83.25,9.00,8.5,38.0,39.5,10.93,NA,3.16,15,1.054,76.5,139.5,141
"Barton, Will",2012,SG/SF,77.00,174.4,20.68,4.1,102.5,81.75,9.00,9.5,30.0,34.0,12.50,NA,3.60,0,1.062,85.5,132.5,136.5
"Beal, Bradley",2012,SG,75.25,201.8,25.05,6.0,100.0,80.00,8.50,9.0,33.0,39.0,10.95,NA,3.28,8,1.063,76.5,133.0,139
"Brown, J'Covan",2012,PG,73.00,202.4,26.70,12.5,96.0,77.25,7.75,8.3,26.0,29.5,11.68,NA,3.47,3,1.058,63.9,122.0,125.5
"Buford, William",2012,SG/SF,76.00,214.6,26.12,11.3,102.0,81.50,8.75,10.0,27.5,32.5,11.40,NA,3.43,8,1.072,87.5,129.5,134.5
"Crowder, Jae",2012,SF,76.75,241.2,28.79,9.0,99.5,81.25,9.50,10.5,31.0,34.5,11.45,NA,3.37,20,1.059,99.8,130.5,134
"Cunningham, Jared",2012,PG/SG,75.50,187.6,23.14,3.6,98.0,78.50,8.25,9.0,NA,NA,NA,NA,NA,4,1.040,74.3,NA,NA
"Davis, Anthony",2012,PF/C,81.25,221.8,23.62,7.9,108.0,89.50,9.00,8.5,NA,NA,NA,NA,NA,NA,1.102,76.5,NA,NA
"Denmon, Marcus",2012,SG,74.25,188.2,24.00,6.6,94.5,77.00,8.25,9.8,33.5,40.0,10.82,NA,3.19,8,1.037,80.4,128.0,134.5
"Drummond, Andre",2012,C,81.75,278.6,29.31,7.5,109.5,90.25,9.50,9.5,31.5,33.5,10.83,NA,3.39,10,1.104,90.3,141.0,143
"English, Kim",2012,SG,76.50,192.0,23.06,4.3,98.0,78.50,8.50,8.8,29.0,36.5,10.59,NA,3.33,NA,1.026,74.4,127.0,134.5
"Ezeli, Festus",2012,PF/C,81.75,264.2,27.79,5.5,108.0,89.75,9.00,10.8,34.0,33.5,12.35,NA,3.29,18,1.098,96.8,142.0,141.5
"Gordon, Drew",2012,PF,80.00,239.0,26.25,9.1,103.5,83.50,8.50,9.8,29.0,34.0,11.35,NA,3.49,10,1.044,82.9,132.5,137.5
"Green, Draymond",2012,SF/PF,77.75,235.6,27.40,11.3,105.0,85.25,9.00,9.5,28.0,33.0,11.01,NA,3.40,9,1.096,85.5,133.0,138
"Green, JaMychal",2012,PF,80.00,217.4,23.88,9.8,106.5,86.25,9.25,9.3,29.5,32.5,10.63,NA,3.38,19,1.078,85.6,136.0,139
"Harkless, Maurice",2012,SF,79.25,206.6,23.13,5.3,102.5,84.00,9.25,10.3,32.5,37.0,10.87,NA,3.25,5,1.060,94.8,135.0,139.5
"Henson, John",2012,PF,81.00,216.0,23.14,8.6,112.0,89.00,9.25,10.0,25.5,30.0,NA,NA,NA,5,1.099,92.5,137.5,142
"Holloway, Tu",2012,PG,70.50,186.8,26.42,8.5,94.5,77.50,8.75,10.0,28.0,35.0,11.00,NA,3.42,12,1.099,87.5,122.5,129.5
